wikidata_uri,codistat,lat,lon
http://www.wikidata.org/entity/Q9343,001101,45.331154,7.690617
http://www.wikidata.org/entity/Q9346,001102,45.303853,7.744719
http://www.wikidata.org/entity/Q9352,001103,45.036095,7.049562
http://www.wikidata.org/entity/Q9356,001104,45.216871,7.522685
http://www.wikidata.org/entity/Q9357,001105,45.467758,7.833718
http://www.wikidata.org/entity/Q9360,001106,45.271272,7.822265
http://www.wikidata.org/entity/Q9363,001107,45.345353,7.591015
http://www.wikidata.org/entity/Q9367,001108,45.437142,7.606743
http://www.wikidata.org/entity/Q9370,001109,45.280852,7.663618
http://www.wikidata.org/entity/Q9373,001110,44.932944,7.350218
http://www.wikidata.org/entity/Q9376,001111,44.837239,7.37442
http://www.wikidata.org/entity/Q9380,001112,45.127113,7.824792
http://www.wikidata.org/entity/Q9383,001113,45.263872,7.469483
http://www.wikidata.org/entity/Q9388,001114,45.140239,7.014756
http://www.wikidata.org/entity/Q9389,001115,45.042005,7.351994
http://www.wikidata.org/entity/Q9390,001116,45.162248,7.496416
http://www.wikidata.org/entity/Q9392,001117,45.125342,7.017507
http://www.wikidata.org/entity/Q9393,001118,45.368497,7.258777
http://www.wikidata.org/entity/Q9395,001119,45.257502,7.557907
http://www.wikidata.org/entity/Q9398,001120,45.068046,7.57762
http://www.wikidata.org/entity/Q9400,001121,45.466468,7.570917
http://www.wikidata.org/entity/Q9403,001122,44.94564,7.218414
http://www.wikidata.org/entity/Q9405,001123,44.906727,7.910151
http://www.wikidata.org/entity/Q9407,001124,45.446934,7.752122
http://www.wikidata.org/entity/Q9409,001125,45.467379,7.874797
http://www.wikidata.org/entity/Q9411,001126,45.180281,7.516213
http://www.wikidata.org/entity/Q9412,001127,44.957744,7.667324
http://www.wikidata.org/entity/Q9414,001128,45.273351,7.477411
http://www.wikidata.org/entity/Q9416,001129,45.158252,7.991627
http://www.wikidata.org/entity/Q9417,001130,45.184582,7.713271
http://www.wikidata.org/entity/Q9417,001130,45.18275,7.71422
http://www.wikidata.org/entity/Q9421,001131,45.228199,7.292045
http://www.wikidata.org/entity/Q9423,001132,45.478258,7.814717
http://www.wikidata.org/entity/Q9425,001133,45.318202,7.606187
http://www.wikidata.org/entity/Q9428,001134,45.417654,7.458814
http://www.wikidata.org/entity/Q9431,001135,45.235228,7.736552
http://www.wikidata.org/entity/Q9432,001136,44.840941,7.635925
http://www.wikidata.org/entity/Q9433,001137,45.441657,7.812718
http://www.wikidata.org/entity/Q9442,001139,44.815437,7.251318
http://www.wikidata.org/entity/Q9445,001140,44.803137,7.246718
http://www.wikidata.org/entity/Q9447,001141,45.318401,7.766652
http://www.wikidata.org/entity/Q9449,001142,44.851139,7.39802
http://www.wikidata.org/entity/Q9450,001143,45.346657,8.013324
http://www.wikidata.org/entity/Q9451,001144,45.058032,7.874623
http://www.wikidata.org/entity/Q9452,001145,44.958515,7.056994
http://www.wikidata.org/entity/Q9454,001146,45.255172,7.541984
http://www.wikidata.org/entity/Q9459,001147,45.118143,7.115109
http://www.wikidata.org/entity/Q9460,001148,45.300255,7.932723
http://www.wikidata.org/entity/Q9462,001149,45.122043,7.064708
http://www.wikidata.org/entity/Q9464,001150,45.357182,7.882359
http://www.wikidata.org/entity/Q9469,001152,45.295129,7.394459
http://www.wikidata.org/entity/Q9470,001153,45.045749,7.920827
http://www.wikidata.org/entity/Q9472,001154,45.142043,7.064609
http://www.wikidata.org/entity/Q9473,001155,45.301873,7.439681
http://www.wikidata.org/entity/Q9474,001156,45.000461,7.684754
http://www.wikidata.org/entity/Q9477,001157,45.205285,6.9825
http://www.wikidata.org/entity/Q9481,001158,45.065487,7.849601
http://www.wikidata.org/entity/Q9483,001159,45.337455,7.83882
http://www.wikidata.org/entity/Q9487,001160,45.490759,7.862818
http://www.wikidata.org/entity/Q9489,001161,45.233553,7.853323
http://www.wikidata.org/entity/Q9493,001162,45.1509,8.016847
http://www.wikidata.org/entity/Q9497,001163,45.037649,7.940028
http://www.wikidata.org/entity/Q9498,001164,44.995518,7.646618
http://www.wikidata.org/entity/Q9501,001165,45.453972,7.314554
http://www.wikidata.org/entity/Q9505,001166,45.243941,7.572993
http://www.wikidata.org/entity/Q9508,001167,45.53616,7.860317
http://www.wikidata.org/entity/Q9512,001168,44.933143,7.540121
http://www.wikidata.org/entity/Q9514,001169,45.18964,7.015498
http://www.wikidata.org/entity/Q9515,001170,45.342554,7.693717
http://www.wikidata.org/entity/Q9519,001171,45.007263,7.536919
http://www.wikidata.org/entity/Q9520,001172,45.329255,7.861721
http://www.wikidata.org/entity/Q9522,001173,44.849368,7.343243
http://www.wikidata.org/entity/Q9525,001174,44.871442,7.608024
http://www.wikidata.org/entity/Q9527,001175,45.033052,6.83251
http://www.wikidata.org/entity/Q9529,001176,45.34929,7.742524
http://www.wikidata.org/entity/Q9533,001177,45.459259,7.978921
http://www.wikidata.org/entity/Q9534,001178,44.833441,7.585924
http://www.wikidata.org/entity/Q9540,001179,45.430657,7.793217
http://www.wikidata.org/entity/Q9541,001180,45.072466,7.834671
http://www.wikidata.org/entity/Q9544,001181,45.437559,7.851715
http://www.wikidata.org/entity/Q9549,001183,45.016883,7.749949
http://www.wikidata.org/entity/Q9551,001184,44.95744,7.190914
http://www.wikidata.org/entity/Q9552,001185,45.397057,7.830819
http://www.wikidata.org/entity/Q9555,001186,44.938264,7.114644
http://www.wikidata.org/entity/Q9556,001187,45.356788,7.638501
http://www.wikidata.org/entity/Q9563,001188,45.289093,7.404162
http://www.wikidata.org/entity/Q9569,001189,45.105847,7.543418
http://www.wikidata.org/entity/Q9571,001190,44.94264,7.229115
http://www.wikidata.org/entity/Q9573,001191,44.887309,7.331945
http://www.wikidata.org/entity/Q9574,001192,45.039547,7.777125
http://www.wikidata.org/entity/Q9578,001193,44.932943,7.610123
http://www.wikidata.org/entity/Q10191,001194,44.990555,7.463704
http://www.wikidata.org/entity/Q10192,001195,44.919442,7.426212
http://www.wikidata.org/entity/Q10193,001196,45.446259,8.005722
http://www.wikidata.org/entity/Q10194,001197,44.920845,7.846928
http://www.wikidata.org/entity/Q10197,001198,44.955983,7.182779
http://www.wikidata.org/entity/Q10198,001199,45.420527,7.596855
http://www.wikidata.org/entity/Q10200,001200,44.887293,7.267971
http://www.wikidata.org/entity/Q10201,001201,45.016217,6.942453
http://www.wikidata.org/entity/Q10203,001202,44.889287,7.048861
http://www.wikidata.org/entity/Q10204,001203,44.859744,7.901431
