wikidata_uri,codistat
http://www.wikidata.org/entity/Q9459,001147
http://www.wikidata.org/entity/Q9460,001148
http://www.wikidata.org/entity/Q9462,001149
http://www.wikidata.org/entity/Q9464,001150
http://www.wikidata.org/entity/Q9469,001152
http://www.wikidata.org/entity/Q9470,001153
http://www.wikidata.org/entity/Q9472,001154
http://www.wikidata.org/entity/Q9473,001155
http://www.wikidata.org/entity/Q9474,001156
http://www.wikidata.org/entity/Q9477,001157
http://www.wikidata.org/entity/Q9481,001158
http://www.wikidata.org/entity/Q9483,001159
http://www.wikidata.org/entity/Q9487,001160
http://www.wikidata.org/entity/Q9489,001161
http://www.wikidata.org/entity/Q9493,001162
http://www.wikidata.org/entity/Q9497,001163
http://www.wikidata.org/entity/Q9498,001164
http://www.wikidata.org/entity/Q9501,001165
http://www.wikidata.org/entity/Q9505,001166
http://www.wikidata.org/entity/Q9508,001167
http://www.wikidata.org/entity/Q9512,001168
http://www.wikidata.org/entity/Q9514,001169
http://www.wikidata.org/entity/Q9515,001170
http://www.wikidata.org/entity/Q9519,001171
http://www.wikidata.org/entity/Q9520,001172
http://www.wikidata.org/entity/Q9522,001173
http://www.wikidata.org/entity/Q9525,001174
http://www.wikidata.org/entity/Q9527,001175
http://www.wikidata.org/entity/Q9529,001176
http://www.wikidata.org/entity/Q9533,001177
http://www.wikidata.org/entity/Q9534,001178
http://www.wikidata.org/entity/Q9540,001179
http://www.wikidata.org/entity/Q9541,001180
http://www.wikidata.org/entity/Q9544,001181
http://www.wikidata.org/entity/Q9549,001183
http://www.wikidata.org/entity/Q9551,001184
http://www.wikidata.org/entity/Q9552,001185
http://www.wikidata.org/entity/Q9555,001186
http://www.wikidata.org/entity/Q9556,001187
http://www.wikidata.org/entity/Q9563,001188
http://www.wikidata.org/entity/Q9569,001189
http://www.wikidata.org/entity/Q9571,001190
http://www.wikidata.org/entity/Q9573,001191
http://www.wikidata.org/entity/Q9574,001192
http://www.wikidata.org/entity/Q9578,001193
http://www.wikidata.org/entity/Q10191,001194
http://www.wikidata.org/entity/Q10192,001195
http://www.wikidata.org/entity/Q10193,001196
http://www.wikidata.org/entity/Q10194,001197
http://www.wikidata.org/entity/Q10197,001198
http://www.wikidata.org/entity/Q10198,001199
http://www.wikidata.org/entity/Q10200,001200
http://www.wikidata.org/entity/Q10201,001201
http://www.wikidata.org/entity/Q10203,001202
http://www.wikidata.org/entity/Q10204,001203
http://www.wikidata.org/entity/Q10205,001204
http://www.wikidata.org/entity/Q10207,001205
http://www.wikidata.org/entity/Q10208,001206
http://www.wikidata.org/entity/Q10209,001207
http://www.wikidata.org/entity/Q10211,001208
http://www.wikidata.org/entity/Q10212,001209
http://www.wikidata.org/entity/Q10213,001210
http://www.wikidata.org/entity/Q10215,001211
http://www.wikidata.org/entity/Q10217,001212
http://www.wikidata.org/entity/Q10221,001213
http://www.wikidata.org/entity/Q10222,001214
http://www.wikidata.org/entity/Q10219,001215
http://www.wikidata.org/entity/Q10224,001216
http://www.wikidata.org/entity/Q10226,001217
http://www.wikidata.org/entity/Q10229,001218
http://www.wikidata.org/entity/Q10231,001219
http://www.wikidata.org/entity/Q10232,001220
http://www.wikidata.org/entity/Q10234,001221
http://www.wikidata.org/entity/Q10236,001222
http://www.wikidata.org/entity/Q10237,001223
http://www.wikidata.org/entity/Q10239,001224
http://www.wikidata.org/entity/Q10241,001225
http://www.wikidata.org/entity/Q10242,001226
http://www.wikidata.org/entity/Q10245,001227
http://www.wikidata.org/entity/Q10243,001228
http://www.wikidata.org/entity/Q10246,001229
http://www.wikidata.org/entity/Q10247,001230
http://www.wikidata.org/entity/Q10248,001231
http://www.wikidata.org/entity/Q10250,001232
http://www.wikidata.org/entity/Q10252,001233
http://www.wikidata.org/entity/Q10254,001234
http://www.wikidata.org/entity/Q10255,001235
